Email,Name,Organization,City,Kind,Phone,Notes,Last_Seen,Disappeared
jimmy-jazz@wp.pl,Wiadomości - Lista - Sklep z płytami i wydawnictwo muzycze - Jimmy Jazz Records,Wiadomości - Lista - Sklep z płytami i wydawnictwo muzycze - Jimmy Jazz Records,Bydgoszcz,local_media,,Found on local source: https://www.jimmyjazz.pl/2012_06-blogbydate-pol.html,2026-09-23,f
RabbitTransPoland@gmail.com,Bydgoszcz Taxi-Ranking: Die besten Taxiunternehmen und -dienste in Bydgoszcz,Bydgoszcz Taxi-Ranking: Die besten Taxiunternehmen und -dienste in Bydgoszcz,Bydgoszcz,local_music_resource,,Found on local source: https://www.rabbittranspoland.com/de/post/bydgoszcz-taxi-ranking-die-besten-taxiunternehmen-und-dienste-in-bydgoszcz,2026-09-23,f
site@sitepoland.com,WYDARZENIA – SITE Poland,WYDARZENIA – SITE Poland,Bydgoszcz,local_music_resource,,Found on local source: https://sitepoland.com/wydarzeniawpolsce/,2026-09-23,f
auria_9090_peru@yahoo.com,Radio Polska - Radio Polska FM – Applications sur Google Play,Radio Polska - Radio Polska FM – Applications sur Google Play,Bydgoszcz,independent_radio,,Found on local source: https://play.google.com/store/apps/details?id=com.appone.radio.polska&hl=fr,2026-09-23,f
contact@radio111.pl,"Radio111.pl | Słuchać stacje radiowe elementy, strona 4","Radio111.pl | Słuchać stacje radiowe elementy, strona 4",Bydgoszcz,independent_radio,,Found on local source: https://radio111.pl/stations/paged/4/,2026-09-23,f
redakcja@radio-plus.pl,"Radio Plus Bydgoszcz — Radio en vivo | Bydgoszcz, 102.6 FM | Radoxo","Radio Plus Bydgoszcz — Radio en vivo | Bydgoszcz, 102.6 FM | Radoxo",Bydgoszcz,independent_radio,,Found on local source: https://radoxo.com/es/poland/radio-plus-bydgoszcz,2026-09-23,f
pomoc@otomoto.pl,OTOMOTO - nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,OTOMOTO - nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,Bydgoszcz,local_music_resource,,Found on local source: https://www.otomoto.pl/index.php,2026-09-23,f
info@eurocities.eu,Bydgoszcz - Eurocities,Bydgoszcz - Eurocities,Bydgoszcz,local_music_resource,,Found on local source: https://eurocities.eu/cities/bydgoszcz/,2026-09-23,f
it@vividgames.com,Приложения в Google Play – Portal Runners: Zozole Rush,Приложения в Google Play – Portal Runners: Zozole Rush,Bydgoszcz,local_media,,Found on local source: https://play.google.com/store/apps/details?id=com.vividgames.zozole.run.universe&hl=ru,2026-09-23,f
support@vividgames.com,Приложения в Google Play – Portal Runners: Zozole Rush,Приложения в Google Play – Portal Runners: Zozole Rush,Bydgoszcz,local_media,,Found on local source: https://play.google.com/store/apps/details?id=com.vividgames.zozole.run.universe&hl=ru,2026-09-23,f
bydgoszcz@kresowianka.pl,Bydgoszcz – Travel guide at Wikivoyage,Bydgoszcz – Travel guide at Wikivoyage,Bydgoszcz,local_music_resource,,Found on local source: https://en.wikivoyage.org/wiki/Bydgoszcz,2026-09-23,f
