Email,Name,Organization,City,Kind,Phone,Notes,Last_Seen,Disappeared
cek@ucl.cas.cz,Erfurt,Erfurt,Erfurt,local_music_resource,,Found on local source: https://www.ceska-poezie.cz/rejstrik/1022,2026-09-23,f
info@blaumond24.de,Promoter-Straubing - Blaumond24,Promoter-Straubing - Blaumond24,Erfurt,promoter,,Found on local source: https://www.blaumond24.de/promoter/promoter-straubing/,2026-09-23,f
ulrike.buchmann@blaumond24.de,Promoter-Straubing - Blaumond24,Promoter-Straubing - Blaumond24,Erfurt,promoter,,Found on local source: https://www.blaumond24.de/promoter/promoter-straubing/,2026-09-23,f
kontakt@instaff.jobs,Vanessa: 10 Jobs als Promoter/in (m/w/d) & Messehost/ess (m/w/d) in Erfurt,Vanessa: 10 Jobs als Promoter/in (m/w/d) & Messehost/ess (m/w/d) in Erfurt,Erfurt,booking_agency,,Found on local source: https://www.instaff.jobs/hostessen/erfurt/Vanessa-1564910,2026-09-23,f
info@mig-music.de,Events | MIG,Events | MIG,Erfurt,event_calendar,,Found on local source: https://www.mig-music.de/en/events/,2026-09-23,f
mammam.erfurt@gmail.com,"mam mam asian fusion | Asiatisches Restaurant | Michaelisstraße 42, Erfurt, Germany","mam mam asian fusion | Asiatisches Restaurant | Michaelisstraße 42, Erfurt, Germany",Erfurt,local_music_resource,,Found on local source: https://www.mammam-erfurt.com/,2026-09-23,f
fehlerhinweis@taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Erfurt,local_creator,,Found on local source: https://taz.de/Gruender-des-Ausstellungshauses-C/O-Berlin/!5791088/,2026-09-23,f
kommune@taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Erfurt,local_creator,,Found on local source: https://taz.de/Gruender-des-Ausstellungshauses-C/O-Berlin/!5791088/,2026-09-23,f
lizenzen@taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Gründer des Ausstellungshauses C/O Berlin: „Ich habe jeden Tag fotografiert“ | taz.de,Erfurt,local_creator,,Found on local source: https://taz.de/Gruender-des-Ausstellungshauses-C/O-Berlin/!5791088/,2026-09-23,f
info@historicgermany.com,Historic Highlights of Germany,Historic Highlights of Germany,Erfurt,local_music_resource,,Found on local source: https://historicgermany.com/,2026-09-23,f
marketing@bonn-region.de,Historic Highlights of Germany,Historic Highlights of Germany,Erfurt,local_music_resource,,Found on local source: https://historicgermany.com/,2026-09-23,f
